a52dec 0.7.4-10
libao 1.2.2-2
libarchive 3.4.2-1
libass 0.14.0-1
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libb64 1.2.1-3
libblockdev 2.23-3
libbluray 1.2.0-3
libbs2b 3.1.0-6
libbsd 0.10.0-1
libbytesize 2.2-1
libcaca 0.99.beta19-2
libcacard 2.7.0-1
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.33-1
libcap-ng 0.7.10-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.1-1
libcdr 0.1.6-1
libchamplain 0.12.20-1
libcmis 0.5.2-4
libconfig 1.7.2-2
libcroco 0.6.13-1
libcue 2.2.1-1
libcups 2.3.3-1
libcurl-compat 7.70.0-1
libcurl-gnutls 7.70.0-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdazzle 3.36.0-1
libdbi 0.9.0-4
libdbi-drivers 0.9.0-9
libdbusmenu-qt5 0.9.3+16.04.20160218-4
libdc1394 2.2.6-1
libdca 0.0.7-1
libde265 1.0.5-1
libdmapsharing 2.9.39-2
libdmtx 0.7.5-1
libdrm 2.4.101-1
libdv 1.0.0-7
libdvbpsi 1:1.3.3-1
libdvdnav 6.1.0-2
libdvdread 6.1.1-1
libe-book 0.1.3-6
libebml 1.3.10-1
libedit 20191231_3.1-1
libelf 0.178-2
libepoxy 1.5.4-1
libepubgen 0.1.1-1
libetonyek 0.1.9-2
libev 4.33-1
libevdev 1.9.0-1
libevent 2.1.11-5
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfakekey 0.3-1
libfdk-aac 2.0.1-1
libffi 3.3-3
libfm-extra 1.3.1-1
libfm-qt 0.15.0-1
libfontenc 1.1.4-1
libfreehand 0.1.2-2
libgcrypt 1.8.5-2
libgdiplus 5.6.1-2
libgdm 3.34.1-2
libgee 0.20.3-2
libgepub 0.6.0-1
libgexiv2 0.12.0-4
libgit2 1:1.0.0-1
libglade 2.6.4-6
libglvnd 1.3.1-1
libgme 0.6.2-1
libgpg-error 1.37-1
libgphoto2 2.5.24-1
libgrss 0.7.0+16+g971c421-2
libgsf 1.14.47-1
libgssglue 0.4-4
libgtop 2.40.0+2+g31db82ef-1
libgudev 233-1
libgusb 0.3.4-1
libgweather 3.36.0-1
libgxps 0.3.1-1
libhandy 0.0.13-1
libheif 1.6.2-2
libibus 1.5.22-1
libical 3.0.8-1
libice 1.0.10-2
libid3tag 0.15.1b-9
libidn 1.35-2
libidn2 2.3.0-1
libiec61883 1.2.0-5
libieee1284 0.2.11-8
libimobiledevice 1.2.0+87+g92c5462-6
libinput 1.15.5-1
libinstpatch 1.1.4-1
libiodbc 3.52.13-1
libiptcdata 1.0.4-4
libiscsi 1.19.0-1
libixion 0.15.0-1
libjpeg-turbo 2.0.4-1
libkate 0.4.1-7
libkdcraw 20.04.0-1
libkdegames 20.04.0-1
libkexiv2 20.04.0-1
libkeybinder3 0.3.2-3
libkipi 20.04.0-1
libkmahjongg 20.04.0-1
libksba 1.3.5-2
libkscreen 5.18.4.1-1
libksysguard 5.18.4.1-1
libktorrent 2.1.1-1
liblangtag 0.6.3-1
libldap 2.4.49-1
liblouis 3.13.0-1
liblqr 0.4.2-2
liblrdf 0.6.1-3
liblxqt 0.15.0-2
libmad 0.15.1b-8
libmagick6 6.9.11.10-1
libmatekbd 1.24.0-1
libmatemixer 1.24.0-1
libmateweather 1.24.0-1
libmatroska 1.5.2-1
libmaxminddb 1.4.2-1
libmbim 1.22.0-1
libmcrypt 2.5.8-5
libmediaart 1.9.4+1+ga704d0b-1
libmfx 20.1.1-1
libmicrohttpd 0.9.70-1
libmm-glib 1.12.8-1
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-3
libmodplug 0.8.9.0-2
libmpc 1.1.0-2
libmpcdec 1:0.1+r475-2
libmpeg2 0.5.1-6
libmspub 0.1.4-6
libmtp 1.1.17-1
libmusicbrainz5 5.1.0-3
libmwaw 0.3.16-1
libmypaint 1.5.1-2
libndp 1.7-1
libnet 1.1.6-3
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-3
libnfnetlink 1.0.1-3
libnfs 4.0.0-3
libnftnl 1.1.6-1
libnghttp2 1.40.0-1
libnice 0.1.16-1
libnl 3.5.0-2
libnm 1.22.11dev+36+g6abf71f05-1
libnm-glib 1.18.5dev+12+ga8746f48ca-1
libnma 1.8.28-1
libnotify 0.7.9-1
libnsl 1.2.0-2
libnumbertext 1.0.5-1
liboauth 1.0.3+14+g186fb14-1
libodfgen 0.1.7-1
libofa 0.9.3-8
libogg 1.3.4-1
libomxil-bellagio 0.9.3-2
liborcus 0.15.4-1
libosinfo 1.7.1-1
libp11-kit 0.23.20-4
libpackagekit-glib 1.1.13-1
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.9.1-2
libpciaccess 0.16-1
libpeas 1.26.0-1
libpgm 5.2.122-5
libphonenumber 8.11.5-1
libpipeline 1.5.2-1
libplacebo 1.29.1-3
libplist 2.1.0-2
libpng 1.6.37-1
libproxy 0.4.15+33+g454a499-1
libpsl 0.21.0-2
libpulse 13.0-3
libpwquality 1.4.2-2
libqalculate 3.9.0.a-1
libqmi 1.24.10-1
libqtxdg 3.5.0-1
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libqxp 0.0.2-3
libraqm 0.7.0-1
libraw 0.19.5-2
libraw1394 2.1.2-2
libreoffice-fresh 6.4.3-1
librevenge 0.0.4-2
librsvg 2:2.48.4-1
libsamplerate 0.1.9-3
libsasl 2.1.27-2
libsass 3.6.3-1
libseccomp 2.4.2-1
libsecret 0.20.3-1
libshout 1:2.4.3-2
libsigc++ 2.10.3-1
libslirp 4.3.0-1
libsm 1.2.3-1
libsndfile 1.0.28-3
libsodium 1.0.18-1
libsoup 2.70.0-1
libsoxr 0.1.3-1
libspectre 0.2.8-2
libspeechd 0.9.1-3
libspiro 1:20190731-1
libsrtp 1:2.3.0-1
libssh 0.9.4-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libstemmer 0+713-1
libsynctex 2019.51075-8
libtar 1.2.20-5
libtasn1 4.16.0-1
libteam 1.30-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.2.6-1
libtommath 1.2.0-1
libtool 2.4.6+42+gb88cebd5-11
libunistring 0.9.10-2
libunwind 1.3.1-1
libupnp 1.6.25-1
liburcu 0.11.0-1
libusb 1.0.23-2
libusbmuxd 2.0.1-1
libutempter 1.1.6-3
libutil-linux 2.35.1-2
libuv 1.37.0-1
libva 2.7.1-1
libvdpau 1.3-1
libvirt 5.10.0-3
libvirt-glib 3.0.0-1
libvisio 0.1.7-2
libvisual 0.4.0-7
libvncserver 0.9.12-2
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.2-1
libwacom 1.3-1
libwebp 1.1.0-1
libwmf 0.2.12-1
libwnck3 3.36.0-1
libwpd 0.10.3-1
libwpe 1.6.0-1
libwpg 0.3.3-1
libwps 0.4.11-1
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.14-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.10-1
libxmlb 0.1.15-2
libxmu 1.1.3-1
libxnvctrl 440.82-1
libxp 1.0.3-3
libxpm 3.5.13-1
libxpresent 1.0.0-2
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxxf86vm 1.1.4-3
libyaml 0.2.4-1
libzip 1.6.1-1
libzmf 0.0.2-7
licenses 20200427-1
light 1.2.2-1
lightdm 1:1.30.0-2
lilv 0.24.8-1
linux 5.6.8.arch1-1
linux-api-headers 5.4.17-1
linux-firmware 20200421.78c0348-1
linux-headers 5.6.8.arch1-1
llvm-libs 10.0.0-1
lm_sensors 3.6.0-1
lmdb 0.9.24-1
logrotate 3.16.0-1
lpsolve 5.5.2.5-3
lua 5.3.5-3
lua52 5.2.4-5
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lvm2 2.02.187-1
lxappearance 0.6.3-2
lxmenu-data 0.1.5-2
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.48+14+g5811758-1
make 4.3-3
malcontent 0.7.0-1
man-db 2.9.1-2
man-pages 5.06-2
mariadb-clients 10.4.12-1
mariadb-libs 10.4.12-1
materia-kde 20200312-1
mathjax2 2.7.8-1
mbedtls 2.16.5-1
md4c 0.4.3-1
mdadm 4.1-2
media-player-info 24-1
menu-cache 1.1.0-1
menumaker 0.99.11-1
mesa 20.0.6-2
metis 5.1.0.p8-1
milou 5.18.4.1-1
minizip 1:1.2.11-4
mjpegtools 2.1.0-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-1
mod_dnssd 0.6-7
modemmanager 1.12.8-1
modemmanager-qt 5.69.0-1
mono 6.4.0.198-1
mozilla-common 1.4-5
mpfr 4.0.2-2
mpg123 1.25.13-1
msgpack-c 3.2.1-1
mtdev 1.1.6-1
mtools 4.0.24-1
mtr 0.93-2
muparser 2.2.6-1
mypaint-brushes 2.0.2-1
mypaint-brushes1 1.3.1-1
mysql-python 1.2.5-3
mysql-workbench 8.0.20-2
nano 4.9.2-1
ncurses 6.2-1
ndctl 68-2
neon 0.31.1-1
net-snmp 5.8-4
net-tools 1.60.20181103git-2
netcf 0.2.8-7
netctl 1.22-1
nettle 3.5.1-2
networkmanager 1.22.11dev+36+g6abf71f05-1
networkmanager-qt 5.69.0-2
nitrogen 1.6.1-3
nm-connection-editor 1.16.0-1
nodejs 14.1.0-1
noto-fonts 20190926-4
npth 1.6-2
nsnake 3.0.1-2
nspr 4.25-1
nss 3.51.1-1
numactl 2.0.13-3
numix-circle-icon-theme-git 0.r48.e13574d-1
numix-gtk-theme 2.6.7-1
numix-icon-theme-git 0.r1982.88ba36545-1
oath-toolkit 2.6.2-7
obexftp 0.24.2-5
okular 20.04.0-1
oniguruma 6.9.5-1
openal 1.20.1-2
opencore-amr 0.1.5-3
openexr 2.4.1-2
openjpeg2 2.3.1-1
openmotif 2.3.8-2
openmpi 4.0.3-1
openobex 1.7.2-3
openresolv 3.10.0-1
openssh 8.2p1-3
openssl 1.1.1.g-1
openssl-1.0 1.0.2.u-1
openvpn 2.4.9-2
optipng 0.7.7-1
opus 1.3.1-1
orc 0.4.31-1
os-prober 1.77-1
osinfo-db 20200214-1
ostree 2020.3-1
oxygen 5.18.4.1-1
p11-kit 0.23.20-4
packer 1.5.5-1
pacman 5.2.1-4
pacman-contrib 1.3.0-1
pacman-mirrorlist 20200411-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
parted 3.3-1
patch 2.7.6-8
pavucontrol 1:4.0-1
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.34-3
pcsclite 1.8.26-1
percona-toolkit 3.2.0-1
perl 5.30.2-1
perl-dbd-mysql 4.050-4
perl-dbi 1.643-1
perl-error 0.17029-1
perl-mailtools 2.21-2
perl-parse-yapp 1.21-2
perl-term-readkey 2.38-3
perl-timedate 2.32-1
phodav 2.4-1
phonon-qt5 4.11.1-1
phonon-qt5-gstreamer 4.10.0-1
phonon-qt5-vlc 0.11.1-1
php72 7.2.17-1
php72-apache 7.2.17-1
php72-cgi 7.2.17-1
php72-dblib 7.2.17-1
php72-embed 7.2.17-1
php72-enchant 7.2.17-1
php72-fpm 7.2.17-1
php72-gd 7.2.17-1
php72-imap 7.2.17-1
php72-intl 7.2.17-1
php72-odbc 7.2.17-1
php72-pgsql 7.2.17-1
php72-phpdbg 7.2.17-1
php72-pspell 7.2.17-1
php72-snmp 7.2.17-1
php72-sodium 7.2.17-1
php72-sqlite 7.2.17-1
php72-tidy 7.2.17-1
php72-xsl 7.2.17-1
picom 7.5-3
pinentry 1.1.0-5
pipewire 0.3.4-1
pixman 0.40.0-1
pkcs11-helper 1.26.0-1
pkgconf 1.6.3-4
plasma-browser-integration 5.18.4.1-1
plasma-desktop 5.18.4.1-1
plasma-framework 5.69.0-2
plasma-integration 5.18.4.1-1
plasma-nm 5.18.4.1-1
plasma-pa 5.18.4.1-1
plasma-sdk 5.18.4.1-1
plasma-vault 5.18.4.1-1
plasma-workspace 5.18.4.1-2
plasma-workspace-wallpapers 5.18.4.1-1
playerctl 2.1.1-1
polkit 0.116-5
polkit-kde-agent 5.18.4.1-1
polkit-qt5 0.113.0-1
poppler 0.87.0-1
poppler-data 0.4.9-1
poppler-glib 0.87.0-1
poppler-qt5 0.87.0-1
popt 1.16-12
portaudio 1:19.6.0-6
postfix 3.5.1-1
postgresql-libs 12.2-2
potrace 1.16-1
powerdevil 5.18.4.1-1
powerline-common 2.7-5
powerline-fonts 2.7-5
ppp 2.4.7-7
print-manager 20.04.0-1
prison 5.69.0-1
procps-ng 3.3.16-1
proj 6.3.1-1
protobuf 3.11.4-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
pulseaudio-equalizer 13.0-3
purpose 5.69.0-1
pygobject-devel 3.36.0-2
pygtk 2.24.0-8
pyside2 5.14.2.1-1
python 3.8.2-2
python-appdirs 1.4.3-5
python-asn1crypto 1.3.0-1
python-atspi 2.36.0-1
python-attrs 19.3.0-4
python-automat 20.2.0-1
python-bcrypt 3.1.7-3
python-botocore 1.15.49-1
python-cachecontrol 0.12.6-1
python-cached-property 1.5.1-4
python-cairo 1.19.1-1
